0 [2.00e+00, 5.00e-01]
200 [2.16e+00, 3.35e-01]
400 [2.27e+00, 2.49e-01]
600 [2.37e+00, 3.02e-01]
800 [2.51e+00, 3.15e-01]
1000 [2.66e+00, 2.71e-01]
1200 [2.84e+00, 1.85e-01]
1400 [2.99e+00, 1.39e-01]
1600 [3.10e+00, 1.29e-01]
1800 [3.19e+00, 1.24e-01]
2000 [3.27e+00, 1.20e-01]
2200 [3.34e+00, 1.15e-01]
2400 [3.41e+00, 1.09e-01]
2600 [3.46e+00, 1.03e-01]
2800 [3.52e+00, 9.88e-02]
3000 [3.57e+00, 9.68e-02]
3200 [3.61e+00, 9.55e-02]
3400 [3.65e+00, 9.47e-02]
3600 [3.69e+00, 9.48e-02]
3800 [3.72e+00, 9.49e-02]
4000 [3.74e+00, 9.53e-02]
4200 [3.77e+00, 9.54e-02]
4400 [3.79e+00, 9.61e-02]
4600 [3.81e+00, 9.64e-02]
4800 [3.83e+00, 9.66e-02]
5000 [3.84e+00, 9.67e-02]
5200 [3.85e+00, 9.74e-02]
5400 [3.87e+00, 9.73e-02]
5600 [3.88e+00, 9.76e-02]
5800 [3.89e+00, 9.79e-02]
6000 [3.90e+00, 9.79e-02]
6200 [3.91e+00, 9.80e-02]
6400 [3.91e+00, 9.77e-02]
6600 [3.92e+00, 9.82e-02]
6800 [3.93e+00, 9.87e-02]
7000 [3.93e+00, 9.85e-02]
7200 [3.94e+00, 9.88e-02]
7400 [3.94e+00, 9.86e-02]
7600 [3.95e+00, 9.88e-02]
7800 [3.95e+00, 9.92e-02]
8000 [3.95e+00, 9.93e-02]
8200 [3.96e+00, 9.93e-02]
8400 [3.96e+00, 9.92e-02]
8600 [3.96e+00, 9.93e-02]
8800 [3.96e+00, 9.95e-02]
9000 [3.97e+00, 9.95e-02]
9200 [3.97e+00, 9.97e-02]
9400 [3.97e+00, 9.99e-02]
9600 [3.97e+00, 9.95e-02]
9800 [3.97e+00, 9.95e-02]
10000 [3.97e+00, 9.98e-02]
10200 [3.98e+00, 9.98e-02]
10400 [3.98e+00, 9.97e-02]
10600 [3.98e+00, 9.98e-02]
10800 [3.98e+00, 9.99e-02]
11000 [3.98e+00, 9.99e-02]
11200 [3.98e+00, 9.98e-02]
11400 [3.98e+00, 9.98e-02]
11600 [3.98e+00, 1.00e-01]
11800 [3.98e+00, 9.99e-02]
12000 [3.98e+00, 9.97e-02]
12200 [3.98e+00, 9.99e-02]
12400 [3.98e+00, 9.99e-02]
12600 [3.98e+00, 9.99e-02]
12800 [3.98e+00, 9.99e-02]
13000 [3.98e+00, 9.99e-02]
13200 [3.98e+00, 9.99e-02]
13400 [3.99e+00, 1.00e-01]
13600 [3.99e+00, 9.96e-02]
13800 [3.99e+00, 9.98e-02]
14000 [3.99e+00, 9.99e-02]
14200 [3.99e+00, 9.98e-02]
14400 [3.99e+00, 1.00e-01]
14600 [3.99e+00, 9.98e-02]
14800 [3.99e+00, 1.00e-01]
15000 [3.99e+00, 9.99e-02]
15200 [3.99e+00, 9.96e-02]
15400 [3.99e+00, 1.00e-01]
15600 [3.99e+00, 9.99e-02]
15800 [3.99e+00, 9.98e-02]
16000 [3.99e+00, 9.99e-02]
16200 [3.99e+00, 1.00e-01]
16400 [3.99e+00, 1.00e-01]
16600 [3.99e+00, 1.00e-01]
16800 [3.99e+00, 1.00e-01]
17000 [3.99e+00, 9.98e-02]
17200 [3.99e+00, 9.96e-02]
17400 [3.99e+00, 9.99e-02]
17600 [3.99e+00, 9.98e-02]
17800 [3.99e+00, 1.00e-01]
18000 [3.99e+00, 1.00e-01]
18200 [3.99e+00, 9.97e-02]
18400 [3.99e+00, 9.98e-02]
18600 [3.99e+00, 1.00e-01]
18800 [3.99e+00, 1.00e-01]
19000 [3.99e+00, 9.97e-02]
19200 [3.99e+00, 9.98e-02]
19400 [3.99e+00, 9.97e-02]
19600 [3.99e+00, 1.00e-01]
19800 [3.99e+00, 9.98e-02]
20000 [3.99e+00, 1.00e-01]
20000 [3.99e+00, 1.00e-01]
25396 [4.00e+00, 1.00e-01]
